tipo_logradouro;logradouro;bairro;numero;complemento;loteamento
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;856;;
RUA;LUIZ GOMES FERREIRA;CAXAMBU VELHO;16;;
RUA;LUIZ GOMES FERREIRA;CAXAMBU VELHO;26;;
RUA;LUIZ GOMES FERREIRA;CAXAMBU VELHO;36;;
RUA;LUIZ GOMES FERREIRA;CAXAMBU VELHO;48;;
RUA;LUIZ GOMES FERREIRA;CAXAMBU VELHO;;;
AV.;EVARISTO SA GUEDES;CAXAMBU VELHO;1.555,00;;
AV.;EVARISTO SA GUEDES;CAXAMBU VELHO;1.551,00;;
AV.;EVARISTO SA GUEDES;CAXAMBU VELHO;1.591,00;;
AV.;EVARISTO SA GUEDES;CAXAMBU VELHO;;;
AV.;EVARISTO SA GUEDES;CAXAMBU VELHO;1.525,00;;
AV.;EVARISTO SA GUEDES;CAXAMBU VELHO;1.515,00;;
AV.;EVARISTO SA GUEDES;CAXAMBU VELHO;1.425,00;;
TRV;EDGARD MARQUES DOS SANTOS;CAXAMBU VELHO;31;;
TRV;EDGARD MARQUES DOS SANTOS;CAXAMBU VELHO;21;;
AV.;EVARISTO SA GUEDES;CAXAMBU VELHO;1.475,00;;
AV.;EVARISTO SA GUEDES;CAXAMBU VELHO;1.501,00;;
TRV;EDGARD MARQUES DOS SANTOS;CAXAMBU VELHO;22;;
TRV;EDGARD MARQUES DOS SANTOS;CAXAMBU VELHO;32;;
AV.;EVARISTO SA GUEDES;CAXAMBU VELHO;1.437,00;;
AV.;EVARISTO SA GUEDES;CAXAMBU VELHO;1.413,00;;
AV.;EVARISTO SA GUEDES;CAXAMBU VELHO;78;;
AV.;EVARISTO SA GUEDES;CAXAMBU VELHO;;;
AV.;EVARISTO SA GUEDES;CAXAMBU VELHO;1.349,00;;
AV.;EVARISTO SA GUEDES;CAXAMBU VELHO;1.337,00;;
AV.;EVARISTO SA GUEDES;CAXAMBU VELHO;1.327,00;;
AV.;EVARISTO SA GUEDES;CAXAMBU VELHO;1.317,00;;
AV.;EVARISTO SA GUEDES;CAXAMBU VELHO;;;
AV.;EVARISTO SA GUEDES;CAXAMBU VELHO;;;
AV.;EVARISTO SA GUEDES;CAXAMBU VELHO;1.235,00;;
RUA;LUIZ GOMES FERREIRA;CAXAMBU VELHO;47;;
RUA;LUIZ GOMES FERREIRA;CAXAMBU VELHO;35;;
RUA;LUIZ GOMES FERREIRA;CAXAMBU VELHO;17;GERSON DE CARVALHO LIMA;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;1.470,00;;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;898;;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;916;;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;922;;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;942;;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;972; - RESIDENCIA;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;972;#NOME?;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;988;;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;992; - FUNDOS;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;1.008,00;#NOME?;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;1.002,00;;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;1.010,00;#NOME?;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;1.010,00;A - FUNDOS (((RUBENS)));
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;1.010,00;FUNDOS;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;1.020,00;;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;1.032,00;;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;1.026,00;;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;1.042,00;;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;1.052,00;#NOME?;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;1.052,00;#NOME?;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;35;;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;35; A (((TEREZA)));
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;35; - B FUNDOS;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;33; - FUNDOS;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;1.062,00; - FRENTE ;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;1.062,00;;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;1.072,00;PRIMEIRO PAVIMENTO;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;1.072,00;#NOME?;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;1.072,00;#NOME?;
